2017-08-16 15:41:43 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 86aaf9d6 (outbound) of Remoting connection 3079d158 to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 15:41:43 INFO  remoting:482 - EJBCLIENT000016: Channel Channel ID 84250505 (outbound) of Remoting connection 1e1e846f to localhost/127.0.0.1:8080 can no longer process messages
2017-08-16 15:42:32 INFO  xnio:93 - XNIO version 3.3.4.Final
2017-08-16 15:42:32 INFO  nio:55 - XNIO NIO Implementation Version 3.3.4.Final
2017-08-16 15:42:32 INFO  remoting:73 - JBoss Remoting version 4.0.18.Final
2017-08-16 15:42:32 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:42:32 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@15e6115a, receiver=Remoting connection EJB receiver [connection=Remoting connection <e130e0b>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID c6425213 (outbound) of Remoting connection 4eaffc57 to localhost/127.0.0.1:8080
2017-08-16 15:42:32 INFO  client:45 - JBoss EJB Client version 2.1.4.Final
2017-08-16 15:45:02 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:45:02 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@199922f, receiver=Remoting connection EJB receiver [connection=Remoting connection <4a582043>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID e968b869 (outbound) of Remoting connection 4560d031 to localhost/127.0.0.1:8080
2017-08-16 15:45:53 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:45:53 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@21dd4b6a, receiver=Remoting connection EJB receiver [connection=Remoting connection <229f66d9>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID fff7d432 (outbound) of Remoting connection 2705b593 to localhost/127.0.0.1:8080
2017-08-16 15:48:48 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
2017-08-16 15:48:48 INFO  remoting:219 - EJBCLIENT000013: Successful version handshake completed for receiver context EJBReceiverContext{clientContext=org.jboss.ejb.client.EJBClientContext@2b7c7118, receiver=Remoting connection EJB receiver [connection=Remoting connection <24dd86a0>,channel=jboss.ejb,nodename=desktop-9r8auhb]} on channel Channel ID 92cb9eef (outbound) of Remoting connection 57b53426 to localhost/127.0.0.1:8080
2017-08-16 15:49:33 INFO  remoting:103 - EJBCLIENT000017: Received server version 2 and marshalling strategies [river]
